ID,AreaID[0],AreaID[1],AreaID[2],AreaID[3],AreaID[4],AreaID[5],NextAreaID
1,2198,0,0,0,0,0,0
6,3796,0,0,0,0,0,0
7,3703,0,0,0,0,0,0
8,3733,0,0,0,0,0,0
9,4163,0,0,0,0,0,0
10,4123,0,0,0,0,0,0
11,148,0,0,0,0,0,0
12,3994,0,0,0,0,0,0
13,4092,0,0,0,0,0,0
14,4080,0,0,0,0,0,0
15,403,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,1583,0,0,0,0,0,0
18,2017,0,0,0,0,0,0
19,367,0,0,0,0,0,0
20,28,0,0,0,0,0,0
21,2677,0,0,0,0,0,0
22,2298,0,0,0,0,0,0
23,4024,0,0,0,0,0,0
24,2158,0,0,0,0,0,0
25,139,0,0,0,0,0,0
26,3277,0,0,0,0,0,0
27,2597,0,0,0,0,0,0
28,1584,0,0,0,0,0,0
29,2717,0,0,0,0,0,0
30,2257,0,0,0,0,0,0
31,2964,0,0,0,0,0,0
32,4002,0,0,0,0,0,0
33,2057,0,0,0,0,0,0
34,1977,0,0,0,0,0,0
35,3358,0,0,0,0,0,0
36,4760,0,0,0,0,0,0
37,3419,0,0,0,0,0,0
38,3428,0,0,0,0,0,0
39,440,0,0,0,0,0,0
40,618,0,0,0,0,0,0
41,3883,0,0,0,0,0,0
42,3982,0,0,0,0,0,0
43,3456,0,0,0,0,0,0
44,1377,0,0,0,0,0,0
45,796,0,0,0,0,0,0
46,3457,0,0,0,0,0,0
47,4060,0,0,0,0,0,0
48,3524,0,0,0,0,0,0
49,3562,0,0,0,0,0,0
50,3584,0,0,0,0,0,0
51,3873,0,0,0,0,0,0
52,3521,0,0,0,0,0,0
53,2366,0,0,0,0,0,0
54,3523,0,0,0,0,0,0
55,3668,0,0,0,0,0,0
56,3547,0,0,0,0,0,0
57,3730,0,0,0,0,0,0
58,3483,0,0,0,0,0,0
59,4282,0,0,0,0,0,0
60,1939,0,0,0,0,0,0
61,3697,0,0,0,0,0,0
62,3682,0,0,0,0,0,0
63,3845,0,0,0,0,0,0
64,3789,0,0,0,0,0,0
65,4048,0,0,0,0,0,0
66,4356,0,0,0,0,0,0
67,3582,0,0,0,0,0,0
68,3822,0,0,0,0,0,0
69,3919,0,0,0,0,0,0
70,3520,0,0,0,0,0,0
71,3944,0,0,0,0,0,0
72,3519,0,0,0,0,0,0
73,3522,0,0,0,0,0,0
74,3657,0,0,0,0,0,0
75,3942,0,0,0,0,0,0
76,4809,0,0,0,0,0,0
77,3769,0,0,0,0,0,0
78,3930,0,0,0,0,0,0
79,3780,0,0,0,0,0,0
81,3790,0,0,0,0,0,0
82,3955,0,0,0,0,0,0
83,3606,0,0,0,0,0,0
84,3904,0,0,0,0,0,0
85,3758,0,0,0,0,0,0
86,3831,0,0,0,0,0,0
87,3565,0,0,0,0,0,0
88,3811,0,0,0,0,0,0
89,3607,0,0,0,0,0,0
90,4054,0,0,0,0,0,0
91,4078,0,0,0,0,0,0
92,3786,0,0,0,0,0,0
93,495,0,0,0,0,0,0
94,3864,0,0,0,0,0,0
95,4071,0,0,0,0,0,0
96,3959,0,0,0,0,0,0
97,512,0,0,0,0,0,0
98,2302,0,0,0,0,0,0
99,4001,0,0,0,0,0,0
100,4061,0,0,0,0,0,0
101,3984,0,0,0,0,0,0
102,3991,0,0,0,0,0,0
103,4055,0,0,0,0,0,0
104,3633,0,0,0,0,0,0
105,3980,0,0,0,0,0,0
106,4003,0,0,0,0,0,0
108,3537,0,0,0,0,0,0
109,4122,0,0,0,0,0,0
110,4325,0,0,0,0,0,0
111,4125,0,0,0,0,0,0
112,4144,0,0,0,0,0,0
113,4116,0,0,0,0,0,0
114,4117,0,0,0,0,0,0
115,3518,0,0,0,0,0,0
116,414,0,0,0,0,0,0
117,394,0,0,0,0,0,0
118,4226,0,0,0,0,0,0
119,4165,0,0,0,0,0,0
120,65,0,0,0,0,0,0
121,4230,0,0,0,0,0,0
122,4220,0,0,0,0,0,0
123,3711,0,0,0,0,0,0
124,4185,0,0,0,0,0,0
125,3557,1638,1497,0,0,0,0
126,4243,0,0,0,0,0,0
127,4242,0,0,0,0,0,0
128,4251,0,0,0,0,0,0
129,4175,0,0,0,0,0,0
130,4286,0,0,0,0,0,0
131,4278,0,0,0,0,0,0
132,4290,0,0,0,0,0,0
133,4284,0,0,0,0,0,0
134,66,0,0,0,0,0,0
135,4321,0,0,0,0,0,0
136,4369,0,0,0,0,0,0
137,4322,0,0,0,0,0,0
138,4323,0,0,0,0,0,0
145,4385,4290,4388,0,0,0,0
161,4360,0,0,0,0,0,0
162,4392,0,0,0,0,0,0
181,4287,4288,4289,0,0,0,0
201,4385,0,0,0,0,0,0
202,4388,0,0,0,0,0,0
221,4364,4298,4361,0,0,0,0
241,4394,4362,0,0,0,0,0
242,4343,4377,4345,4346,4351,4360,241
243,4349,4365,4350,4359,4354,4353,242
244,4342,4352,4355,4356,4347,4348,243
261,4360,0,0,0,0,0,0
262,67,0,0,0,0,0,0
281,4298,0,0,0,0,0,0
301,4460,0,0,0,0,0,0
302,4421,4461,0,0,0,0,0
303,4417,0,0,0,0,0,0
323,4024,4401,4120,4121,0,0,0
343,4315,0,0,0,0,0,0
344,4477,0,0,0,0,0,0
363,4027,4130,0,0,0,0,0
364,4027,4130,0,0,0,0,0
